,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Average_Score,Score_Discrepancy,Score_Sales_Ratio
11,Shadow Ops: Red Mercury,XB,2004.0,Shooter,Atari,0.11,0.03,0.0,0.01,0.15,61.0,45.0,6.1,14.0,Zombie,T,61.0,0.0,406.6666666666667
12,Rock Revolution,X360,2008.0,Misc,Konami Digital Entertainment,0.25,0.0,0.0,0.02,0.27,38.0,28.0,5.1,17.0,"Zoe Mode, HB Studios Multimedia",T,44.5,13.0,164.8148148148148
13,Zumba Fitness: World Party,XOne,2013.0,Misc,Majesco Entertainment,0.17,0.05,0.0,0.02,0.24,73.0,5.0,6.2,40.0,Zoe Mode,E,67.5,11.0,281.25
14,Crush,PSP,2007.0,Puzzle,Sega,0.07,0.0,0.0,0.01,0.08,83.0,41.0,9.0,21.0,Zoe Mode,E10+,86.5,7.0,1081.25
15,You're in the Movies,X360,2008.0,Misc,Microsoft Game Studios,0.27,0.17,0.0,0.05,0.48,55.0,21.0,5.5,20.0,Zoe Mode,E,55.0,0.0,114.58333333333334
16,Crush3D,3DS,2012.0,Platform,Sega,0.07,0.04,0.0,0.01,0.12,71.0,32.0,7.4,16.0,Zoe Mode,E10+,72.5,3.0,604.1666666666667
17,Zumba Fitness Core,X360,2012.0,Misc,505 Games,0.0,0.05,0.0,0.0,0.05,77.0,6.0,6.7,6.0,Zoe Mode,E10+,72.0,10.0,1440.0
18,Disney Sing It,X360,2008.0,Misc,Disney Interactive Studios,0.39,0.01,0.0,0.03,0.43,53.0,10.0,5.2,6.0,Zoe Mode,E,52.5,1.0,122.09302325581396
19,Disney Sing It,PS3,2008.0,Misc,Disney Interactive Studios,0.28,0.06,0.0,0.04,0.37,54.0,11.0,3.5,6.0,Zoe Mode,E,44.5,19.0,120.27027027027027
20,Dancing With The Stars,Wii,2007.0,Misc,Activision,0.22,0.0,0.0,0.02,0.24,42.0,5.0,6.2,5.0,Zoe Mode,E10+,52.0,20.0,216.66666666666669
21,Unit 13,PSV,2012.0,Shooter,Sony Computer Entertainment,0.25,0.13,0.04,0.07,0.5,71.0,60.0,7.5,169.0,Zipper Interactive,T,73.0,4.0,146.0
22,SOCOM 4: U.S. Navy SEALs,PS3,2011.0,Shooter,Sony Computer Entertainment,0.66,0.11,0.04,0.08,0.89,67.0,64.0,6.3,121.0,Zipper Interactive,M,65.0,4.0,73.03370786516854
23,SOCOM II: U.S. Navy SEALs,PS2,2003.0,Shooter,Sony Computer Entertainment,2.22,0.51,0.06,0.15,2.94,87.0,42.0,9.0,93.0,Zipper Interactive,M,88.5,3.0,30.102040816326532
24,SOCOM: U.S. Navy SEALs,PS2,2002.0,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65,82.0,42.0,7.9,82.0,Zipper Interactive,M,80.5,3.0,22.054794520547947
25,SOCOM 3: U.S. Navy SEALs,PS2,2005.0,Shooter,Sony Computer Entertainment,1.22,0.34,0.04,0.1,1.69,82.0,59.0,8.8,64.0,Zipper Interactive,M,85.0,6.0,50.29585798816568
26,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005.0,Shooter,Sony Computer Entertainment,1.03,0.0,0.01,0.08,1.12,82.0,44.0,8.6,63.0,Zipper Interactive,M,84.0,4.0,74.99999999999999
27,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006.0,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13,1.05,81.0,31.0,9.0,36.0,Zipper Interactive,T,85.5,9.0,81.42857142857143
28,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006.0,Shooter,Sony Computer Entertainment,1.74,0.02,0.0,0.28,2.04,72.0,38.0,9.0,34.0,Zipper Interactive,T,81.0,18.0,39.705882352941174
29,Medieval Moves: Deadmund's Quest,PS3,2011.0,Action,Sony Computer Entertainment,0.13,0.11,0.0,0.04,0.28,61.0,41.0,6.5,17.0,Zindagi Games,E10+,63.0,4.0,224.99999999999997
30,Mind Zero,PSV,2013.0,Role-Playing,GungHo,0.05,0.0,0.04,0.02,0.1,59.0,13.0,6.0,72.0,Zerodiv,T,59.5,1.0,595.0
31,Sorcery Saga: The Curse of the Great Curry God,PSV,2013.0,Role-Playing,Rising Star Games,0.0,0.0,0.03,0.0,0.03,65.0,17.0,7.3,44.0,Zerodiv,T,69.0,8.0,2300.0
32,Class of Heroes,PSP,2008.0,Role-Playing,Acquire,0.06,0.0,0.08,0.01,0.14,61.0,12.0,7.1,12.0,Zerodiv,T,66.0,10.0,471.4285714285714
33,The Elder Scrolls Online,PC,2014.0,Role-Playing,Bethesda Softworks,0.32,0.51,0.0,0.07,0.9,71.0,64.0,5.7,2421.0,ZeniMax Media,M,64.0,14.0,71.11111111111111
34,The Elder Scrolls Online,XOne,2015.0,Role-Playing,Bethesda Softworks,0.78,0.38,0.0,0.12,1.28,77.0,11.0,8.4,613.0,ZeniMax Media,M,80.5,7.0,62.890625
35,Okage: Shadow King,PS2,2001.0,Role-Playing,Sony Computer Entertainment,0.14,0.11,0.08,0.04,0.36,70.0,23.0,8.5,14.0,Zener Works,T,77.5,15.0,215.2777777777778
36,Ghostbusters: The Video Game,DS,2009.0,Action,Atari,0.24,0.12,0.0,0.04,0.4,55.0,17.0,6.0,7.0,Zen Studios,E,57.5,5.0,143.75
37,Future Tactics: The Uprising,PS2,2004.0,Strategy,Crave Entertainment,0.03,0.03,0.0,0.01,0.07,61.0,25.0,6.0,6.0,Zed Two Limited,T,60.5,1.0,864.2857142857142
38,X-Men: The Official Game,PS2,2006.0,Action,Activision,0.2,0.16,0.0,0.05,0.41,52.0,44.0,7.5,20.0,"Z-Axis, Ltd.",T,63.5,23.0,154.8780487804878
39,X-Men: The Official Game,X360,2006.0,Action,Activision,0.16,0.0,0.0,0.01,0.17,52.0,57.0,6.1,20.0,"Z-Axis, Ltd.",T,56.5,9.0,332.35294117647055
40,Dave Mirra Freestyle BMX 2,PS2,2001.0,Sports,Acclaim Entertainment,0.67,0.53,0.0,0.18,1.38,81.0,21.0,8.1,18.0,"Z-Axis, Ltd.",T,81.0,0.0,58.69565217391305
41,BMX XXX,PS2,2002.0,Sports,Acclaim Entertainment,0.07,0.06,0.0,0.02,0.15,54.0,14.0,4.6,17.0,"Z-Axis, Ltd.",M,50.0,8.0,333.33333333333337
42,Aggressive Inline,PS2,2002.0,Sports,Acclaim Entertainment,0.17,0.13,0.0,0.04,0.35,85.0,31.0,8.7,14.0,"Z-Axis, Ltd.",T,86.0,2.0,245.71428571428572
43,Enemy Territory: Quake Wars,PS3,2008.0,Shooter,Activision,0.23,0.07,0.0,0.04,0.35,60.0,30.0,6.4,14.0,"Z-Axis, Ltd.",T,62.0,4.0,177.14285714285717
44,Dave Mirra Freestyle BMX 2,GC,2001.0,Sports,Acclaim Entertainment,0.21,0.06,0.0,0.01,0.28,78.0,15.0,7.7,10.0,"Z-Axis, Ltd.",T,77.5,1.0,276.7857142857143
45,BMX XXX,XB,2002.0,Sports,Acclaim Entertainment,0.08,0.02,0.0,0.0,0.11,58.0,26.0,7.8,9.0,"Z-Axis, Ltd.",M,68.0,20.0,618.1818181818181
46,X-Men: The Official Game,XB,2006.0,Action,Activision,0.08,0.02,0.0,0.0,0.1,53.0,38.0,8.1,7.0,"Z-Axis, Ltd.",T,67.0,28.0,670.0
47,Dave Mirra Freestyle BMX: Maximum Remix,PS,2001.0,Sports,Acclaim Entertainment,0.15,0.1,0.0,0.02,0.27,67.0,11.0,8.1,7.0,"Z-Axis, Ltd.",E,74.0,14.0,274.0740740740741
48,Aggressive Inline,XB,2002.0,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06,85.0,20.0,7.7,7.0,"Z-Axis, Ltd.",T,81.0,8.0,1350.0
49,BMX XXX,GC,2002.0,Sports,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06,60.0,15.0,5.0,7.0,"Z-Axis, Ltd.",M,55.0,10.0,916.6666666666667
50,Dave Mirra Freestyle BMX 2,XB,2001.0,Sports,Acclaim Entertainment,0.15,0.04,0.0,0.01,0.2,76.0,18.0,8.2,6.0,"Z-Axis, Ltd.",T,79.0,6.0,395.0
51,Dave Mirra Freestyle BMX,PS,2000.0,Sports,Acclaim Entertainment,0.91,0.11,0.0,0.03,1.05,82.0,14.0,8.4,5.0,"Z-Axis, Ltd.",E,83.0,2.0,79.04761904761905
52,Aggressive Inline,GC,2002.0,Sports,Acclaim Entertainment,0.04,0.01,0.0,0.0,0.06,88.0,16.0,7.8,5.0,"Z-Axis, Ltd.",T,83.0,10.0,1383.3333333333335
53,WWE Day of Reckoning 2,GC,2005.0,Fighting,THQ,0.26,0.07,0.0,0.01,0.34,76.0,36.0,6.0,263.0,Yuke's,T,68.0,16.0,199.99999999999997
54,WWE 2K16,PS4,2015.0,Sports,Take-Two Interactive,0.41,0.6,0.0,0.2,1.21,73.0,47.0,7.4,237.0,Yuke's,T,73.5,1.0,60.743801652892564
55,WWE 2K15,PS4,2014.0,Sports,Take-Two Interactive,0.39,0.57,0.0,0.19,1.15,62.0,44.0,5.1,164.0,Yuke's,T,56.5,11.0,49.1304347826087
56,WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,0.49,0.46,0.0,0.19,1.14,74.0,22.0,7.5,121.0,Yuke's,T,74.5,1.0,65.35087719298247
57,WWE 2K14,X360,2013.0,Sports,Take-Two Interactive,0.64,0.37,0.0,0.1,1.11,75.0,43.0,7.7,100.0,Yuke's,T,76.0,2.0,68.46846846846846
58,UFC Undisputed 3,PS3,2012.0,Action,THQ,0.55,0.32,0.03,0.13,1.03,86.0,30.0,7.4,92.0,Yuke's,T,80.0,12.0,77.66990291262135
59,WWE '12,X360,2011.0,Fighting,THQ,0.74,0.4,0.0,0.12,1.27,71.0,52.0,6.3,89.0,Yuke's,T,67.0,8.0,52.75590551181102
60,UFC Undisputed 3,X360,2012.0,Action,THQ,0.72,0.2,0.0,0.08,0.99,85.0,60.0,7.6,88.0,Yuke's,T,80.5,9.0,81.31313131313131
61,WWE 2K17,PS4,2016.0,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6,69.0,50.0,6.9,88.0,Yuke's,T,69.0,0.0,115.0
62,WWE Day of Reckoning,GC,2004.0,Fighting,THQ,0.35,0.09,0.0,0.01,0.45,79.0,47.0,9.1,81.0,Yuke's,T,85.0,12.0,188.88888888888889
63,WWE '12,PS3,2011.0,Fighting,THQ,0.53,0.45,0.02,0.17,1.17,72.0,28.0,6.9,80.0,Yuke's,T,70.5,3.0,60.25641025641026
64,UFC Undisputed 2010,X360,2010.0,Fighting,THQ,0.9,0.31,0.0,0.11,1.32,84.0,70.0,6.7,80.0,Yuke's,T,75.5,17.0,57.196969696969695
65,WWE 2K16,XOne,2015.0,Sports,Take-Two Interactive,0.32,0.22,0.0,0.05,0.59,72.0,18.0,5.7,75.0,Yuke's,T,64.5,15.0,109.3220338983051
66,WWE 2K15,X360,2014.0,Sports,Take-Two Interactive,0.38,0.2,0.0,0.06,0.64,50.0,5.0,4.0,65.0,Yuke's,T,45.0,10.0,70.3125
67,WWE 2K15,XOne,2014.0,Sports,Take-Two Interactive,0.29,0.23,0.0,0.05,0.57,56.0,25.0,5.7,63.0,Yuke's,T,56.5,1.0,99.12280701754386
68,WWE SmackDown vs. RAW 2007,PS2,2006.0,Fighting,THQ,1.4,0.88,0.03,0.26,2.58,80.0,27.0,8.6,57.0,Yuke's,T,83.0,6.0,32.17054263565891
69,WWE 2K15,PS3,2014.0,Sports,Take-Two Interactive,0.36,0.29,0.0,0.13,0.78,55.0,5.0,3.1,57.0,Yuke's,T,43.0,24.0,55.128205128205124
70,WWE SmackDown vs. Raw 2010,PS3,2009.0,Fighting,THQ,0.48,0.48,0.01,0.2,1.17,81.0,38.0,8.1,55.0,Yuke's,T,81.0,0.0,69.23076923076924
71,UFC 2009 Undisputed,X360,2009.0,Fighting,THQ,1.48,0.39,0.0,0.19,2.06,83.0,68.0,7.9,51.0,Yuke's,T,81.0,4.0,39.32038834951456
72,WWE SmackDown vs. Raw 2009,PS3,2008.0,Fighting,THQ,0.51,0.3,0.01,0.12,0.94,78.0,37.0,7.0,49.0,Yuke's,T,74.0,8.0,78.72340425531915
73,UFC Undisputed 2010,PS3,2010.0,Fighting,THQ,0.8,0.4,0.02,0.18,1.41,85.0,54.0,7.2,48.0,Yuke's,T,78.5,13.0,55.67375886524823
74,WWE SmackDown vs Raw 2008,X360,2007.0,Fighting,THQ,0.92,0.38,0.0,0.13,1.43,71.0,41.0,6.8,48.0,Yuke's,T,69.5,3.0,48.60139860139861
75,WWE Wrestlemania XIX,GC,2003.0,Fighting,THQ,0.26,0.07,0.0,0.01,0.33,76.0,26.0,8.7,47.0,Yuke's,T,81.5,11.0,246.96969696969697
76,WWE SmackDown vs. RAW 2007,X360,2006.0,Fighting,THQ,0.44,0.03,0.0,0.04,0.5,81.0,50.0,7.8,46.0,Yuke's,T,79.5,3.0,159.0
77,WWE SmackDown vs. Raw 2011,X360,2010.0,Fighting,THQ,0.44,0.35,0.0,0.08,0.88,75.0,49.0,7.6,45.0,Yuke's,T,75.5,1.0,85.79545454545455
78,WWE SmackDown vs Raw 2008,PS3,2007.0,Fighting,THQ,0.62,0.49,0.01,0.2,1.33,74.0,27.0,7.3,41.0,Yuke's,T,73.5,1.0,55.26315789473684
79,WWE SmackDown vs. Raw 2011,PS3,2010.0,Fighting,THQ,0.44,0.46,0.01,0.18,1.09,74.0,42.0,6.9,41.0,Yuke's,T,71.5,5.0,65.59633027522935
80,WWE SmackDown! vs. RAW 2006,PSP,2005.0,Fighting,THQ,0.36,0.0,0.0,0.03,0.4,81.0,30.0,8.5,37.0,Yuke's,T,83.0,4.0,207.5
81,WWE SmackDown vs. Raw 2010,X360,2009.0,Fighting,THQ,0.56,0.37,0.01,0.1,1.04,80.0,59.0,8.4,36.0,Yuke's,T,82.0,4.0,78.84615384615384
82,WWE SmackDown vs. Raw 2009,X360,2008.0,Fighting,THQ,0.58,0.26,0.0,0.08,0.92,79.0,47.0,7.1,34.0,Yuke's,T,75.0,8.0,81.52173913043478
83,WWE SmackDown vs. Raw 2009,PS2,2008.0,Fighting,THQ,0.69,0.0,0.0,0.55,1.24,78.0,9.0,6.9,34.0,Yuke's,T,73.5,9.0,59.274193548387096
84,WWE SmackDown vs Raw 2008,PS2,2007.0,Fighting,THQ,0.92,0.0,0.01,1.41,2.34,71.0,11.0,7.2,31.0,Yuke's,T,71.5,1.0,30.555555555555557
85,WWE 2K17,XOne,2016.0,Sports,Take-Two Interactive,0.12,0.12,0.0,0.02,0.26,68.0,12.0,5.5,27.0,Yuke's,T,61.5,13.0,236.53846153846152
86,Legends of WrestleMania,X360,2009.0,Fighting,THQ,0.2,0.15,0.0,0.04,0.39,71.0,59.0,6.3,23.0,Yuke's,T,67.0,8.0,171.7948717948718
87,WWE SmackDown vs. RAW 2007,PSP,2006.0,Fighting,THQ,0.33,0.2,0.0,0.14,0.66,78.0,13.0,8.1,21.0,Yuke's,T,79.5,3.0,120.45454545454545
88,Rumble Roses,PS2,2004.0,Fighting,Konami Digital Entertainment,0.19,0.15,0.0,0.05,0.39,66.0,44.0,8.5,20.0,Yuke's,M,75.5,19.0,193.5897435897436
89,WWE Wrestlemania X8,GC,2002.0,Fighting,THQ,0.38,0.1,0.0,0.01,0.49,64.0,25.0,6.9,20.0,Yuke's,T,66.5,5.0,135.71428571428572
90,Legends of WrestleMania,PS3,2009.0,Fighting,THQ,0.3,0.16,0.0,0.07,0.54,70.0,43.0,6.5,19.0,Yuke's,T,67.5,5.0,124.99999999999999
91,WWE SmackDown vs. Raw 2009,Wii,2008.0,Fighting,THQ,0.44,0.31,0.0,0.08,0.83,79.0,18.0,8.5,18.0,Yuke's,T,82.0,6.0,98.79518072289157
92,WWE SmackDown vs Raw 2008,Wii,2007.0,Fighting,THQ,0.38,0.5,0.0,0.11,0.98,59.0,13.0,5.9,18.0,Yuke's,T,59.0,0.0,60.204081632653065
93,WWE SmackDown vs Raw 2008,PSP,2007.0,Fighting,THQ,0.45,0.47,0.0,0.28,1.19,68.0,11.0,7.8,15.0,Yuke's,T,73.0,10.0,61.34453781512605
94,UFC Undisputed 2010,PSP,2010.0,Fighting,THQ,0.11,0.06,0.0,0.04,0.21,74.0,27.0,7.0,13.0,Yuke's,T,72.0,4.0,342.8571428571429
95,The Dog Island,Wii,2007.0,Adventure,Ubisoft,0.34,0.01,0.0,0.03,0.38,70.0,4.0,8.1,12.0,Yuke's,E,75.5,11.0,198.68421052631578
96,WWE SmackDown vs. Raw 2010,Wii,2009.0,Fighting,THQ,0.49,0.17,0.0,0.06,0.73,78.0,11.0,7.7,9.0,Yuke's,T,77.5,1.0,106.16438356164385
97,WWE SmackDown vs. Raw 2009,PSP,2008.0,Fighting,THQ,0.41,0.2,0.0,0.14,0.75,72.0,9.0,6.0,9.0,Yuke's,T,66.0,12.0,88.0
98,WWE '12,Wii,2011.0,Fighting,THQ,0.23,0.08,0.0,0.03,0.34,74.0,6.0,5.2,9.0,Yuke's,T,63.0,22.0,185.2941176470588
99,E·O·E: Eve of Extinction,PS2,2002.0,Fighting,Eidos Interactive,0.04,0.03,0.02,0.01,0.1,57.0,28.0,7.2,6.0,Yuke's,T,64.5,15.0,645.0
100,WWE SmackDown vs. Raw 2010,DS,2009.0,Fighting,THQ,0.35,0.13,0.0,0.05,0.53,75.0,7.0,8.3,4.0,Yuke's,T,79.0,8.0,149.0566037735849
101,Spec Ops: The Line,PC,2012.0,Shooter,Take-Two Interactive,0.11,0.09,0.0,0.02,0.23,76.0,16.0,8.2,1237.0,Yager,M,79.0,6.0,343.4782608695652
102,Spec Ops: The Line,PS3,2012.0,Shooter,Take-Two Interactive,0.19,0.23,0.04,0.08,0.54,77.0,27.0,8.0,350.0,Yager,M,78.5,3.0,145.37037037037035
103,Spec Ops: The Line,X360,2012.0,Shooter,Take-Two Interactive,0.21,0.17,0.0,0.04,0.42,76.0,59.0,8.2,319.0,Yager,M,79.0,6.0,188.0952380952381
104,Yager,XB,2003.0,Shooter,THQ,0.03,0.01,0.0,0.0,0.05,70.0,19.0,9.3,9.0,Yager,T,81.5,23.0,1630.0
105,Shovel Knight,PS4,2015.0,Platform,Yacht Club Games,0.03,0.03,0.0,0.01,0.08,90.0,18.0,7.6,312.0,Yacht Club Games,E,83.0,14.0,1037.5
106,Shovel Knight,WiiU,2015.0,Platform,Yacht Club Games,0.05,0.04,0.0,0.01,0.1,88.0,24.0,8.3,280.0,Yacht Club Games,E,85.5,5.0,855.0
107,Shovel Knight,3DS,2015.0,Platform,Yacht Club Games,0.08,0.04,0.02,0.01,0.14,90.0,9.0,8.2,225.0,Yacht Club Games,E,86.0,8.0,614.2857142857142
108,Spectral Force 3,X360,2006.0,Role-Playing,Idea Factory,0.08,0.0,0.0,0.01,0.09,59.0,16.0,7.5,19.0,Xpec,T,67.0,16.0,744.4444444444445
109,Shrek: Forever After,X360,2010.0,Platform,Activision,0.1,0.0,0.0,0.01,0.11,62.0,22.0,6.2,9.0,Xpec,E10+,62.0,0.0,563.6363636363636
110,Kung Fu Panda,Wii,2008.0,Action,Activision,0.5,0.32,0.0,0.09,0.91,70.0,20.0,6.7,7.0,Xpec,E10+,68.5,3.0,75.27472527472527
111,Bounty Hounds,PSP,2006.0,Action,Namco Bandai Games,0.03,0.0,0.0,0.0,0.03,63.0,14.0,6.0,7.0,Xpec,T,61.5,3.0,2050.0
112,Hello Kitty: Roller Rescue,GC,2005.0,Action,Empire Interactive,0.06,0.02,0.0,0.0,0.08,64.0,14.0,6.8,6.0,Xpec,E,66.0,4.0,825.0
113,Shrek: Forever After,PS3,2010.0,Platform,Activision,0.16,0.02,0.0,0.02,0.19,57.0,11.0,4.5,6.0,Xpec,E10+,51.0,12.0,268.42105263157896
114,Kung Fu Panda,PS2,2008.0,Action,Activision,0.24,0.0,0.0,0.41,0.65,73.0,6.0,8.6,5.0,Xpec,E10+,79.5,13.0,122.3076923076923
115,Greg Hastings' Tournament Paintball,XB,2004.0,Shooter,Activision,0.46,0.06,0.0,0.02,0.54,74.0,11.0,9.2,42.0,WXP,T,83.0,18.0,153.7037037037037
116,The Lord of the Rings: The Fellowship of the Ring,XB,2002.0,Action,Universal Interactive,0.31,0.19,0.0,0.03,0.53,59.0,23.0,6.6,10.0,WXP,T,62.5,7.0,117.92452830188678
117,Sega GT 2002,XB,2002.0,Racing,Sega,0.12,0.03,0.03,0.01,0.19,82.0,24.0,8.2,24.0,Wow Entertainment,E,82.0,0.0,431.57894736842104
118,Nightshade,PS2,2003.0,Action,Sega,0.06,0.04,0.0,0.01,0.12,68.0,39.0,7.7,20.0,Wow Entertainment,M,72.5,9.0,604.1666666666667
119,The House of The Dead III,XB,2002.0,Shooter,Sega,0.29,0.08,0.0,0.01,0.39,72.0,30.0,7.3,9.0,Wow Entertainment,M,72.5,1.0,185.89743589743588
120,Sega GT Online,XB,2003.0,Racing,Sega,0.06,0.02,0.0,0.0,0.08,72.0,32.0,9.2,5.0,Wow Entertainment,T,82.0,20.0,1025.0
121,Vampire Night,PS2,2001.0,Shooter,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,65.0,18.0,8.0,5.0,Wow Entertainment,T,72.5,15.0,517.8571428571428
122,Theresia...,DS,2008.0,Adventure,Arc System Works,0.05,0.0,0.0,0.0,0.06,61.0,6.0,8.0,8.0,WorkJam,M,70.5,19.0,1175.0
123,Gray Matter,PC,2011.0,Adventure,DTP Entertainment,0.02,0.05,0.0,0.01,0.08,72.0,27.0,7.7,80.0,Wizarbox,T,74.5,5.0,931.25
124,Shaman King: Power of Spirit,PS2,2004.0,Adventure,Konami Digital Entertainment,0.06,0.05,0.0,0.02,0.13,54.0,9.0,8.2,17.0,WinkySoft,T,68.0,28.0,523.0769230769231
125,Zone of the Enders: The Fist of Mars,GBA,2001.0,Role-Playing,Konami Digital Entertainment,0.04,0.02,0.0,0.0,0.06,71.0,12.0,9.0,9.0,WinkySoft,E,80.5,19.0,1341.6666666666667
126,Doctor Lautrec and the Forgotten Knights,3DS,2011.0,Adventure,Konami Digital Entertainment,0.07,0.05,0.03,0.01,0.16,53.0,19.0,6.1,8.0,WinkySoft,E10+,57.0,8.0,356.25
127,KISS Pinball,PS,2001.0,Action,Take-Two Interactive,0.17,0.12,0.0,0.02,0.31,26.0,7.0,3.8,8.0,Wildfire Studios,T,32.0,12.0,103.22580645161291
128,Airborne Troops: Countdown to D-Day,PS2,2005.0,Shooter,Playlogic Game Factory,0.06,0.05,0.0,0.02,0.12,39.0,4.0,8.1,9.0,WideScreen Games,T,60.0,42.0,500.0
129,Dead to Rights II,PS2,2005.0,Shooter,Electronic Arts,0.1,0.08,0.0,0.03,0.2,51.0,32.0,5.3,7.0,WideScreen Games,M,52.0,2.0,260.0
130,Pirates: Legend of the Black Buccaneer,PS2,2006.0,Adventure,10TACLE Studios,0.01,0.01,0.0,0.0,0.02,42.0,4.0,7.0,5.0,WideScreen Games,T,56.0,28.0,2800.0
131,Stubbs the Zombie in Rebel Without a Pulse,XB,2005.0,Action,THQ,0.08,0.02,0.0,0.0,0.11,75.0,55.0,8.1,16.0,Wideload Games Inc.,M,78.0,6.0,709.0909090909091
132,Hail to the Chimp,X360,2008.0,Misc,Gamecock,0.05,0.0,0.0,0.0,0.06,52.0,23.0,6.1,7.0,Wideload Games Inc.,T,56.5,9.0,941.6666666666667
133,Disney Guilty Party,Wii,2010.0,Misc,Disney Interactive Studios,0.42,0.0,0.0,0.03,0.45,78.0,13.0,8.0,4.0,Wideload Games Inc.,E,79.0,2.0,175.55555555555554
134,Hail to the Chimp,PS3,2008.0,Misc,Gamecock,0.05,0.0,0.0,0.0,0.05,51.0,19.0,4.5,4.0,Wideload Games Inc.,T,48.0,6.0,960.0
135,Rugby Challenge 3,PS4,2016.0,Sports,Alternative Software,0.0,0.04,0.0,0.01,0.04,64.0,4.0,6.8,12.0,Wicked Witch Software,E,66.0,4.0,1650.0
136,Pirates: The Legend of Black Kat,PS2,2002.0,Adventure,Electronic Arts,0.07,0.05,0.0,0.02,0.14,72.0,24.0,7.9,8.0,Westwood Studios,T,75.5,7.0,539.2857142857142
137,Dragon Ball Z: The Legacy of Goku II,GBA,2003.0,Role-Playing,Atari,0.78,0.29,0.0,0.02,1.09,75.0,21.0,8.9,39.0,Webfoot Technologies,E,82.0,14.0,75.22935779816513
138,Dragon Ball Z: Buu's Fury,GBA,2004.0,Action,Atari,0.44,0.16,0.0,0.01,0.61,62.0,19.0,8.9,39.0,Webfoot Technologies,E,75.5,27.0,123.77049180327869
139,Dragon Ball Z: The Legacy of Goku,GBA,2002.0,Role-Playing,Infogrames,1.52,0.12,0.0,0.05,1.69,53.0,15.0,6.9,28.0,Webfoot Technologies,E,61.0,16.0,36.09467455621302
140,Dragon Ball GT: Transformation,GBA,2005.0,Action,Atari,0.2,0.08,0.0,0.01,0.28,69.0,12.0,8.2,26.0,Webfoot Technologies,E10+,75.5,13.0,269.6428571428571
141,Dragon Ball Z: Taiketsu,GBA,2003.0,Fighting,Atari,0.77,0.29,0.0,0.02,1.08,40.0,23.0,6.1,22.0,Webfoot Technologies,T,50.5,21.0,46.75925925925926
