Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Average_score,Score_discrepancy,Ratings_sales_ratio
Greg Hastings' Tournament Paintball Max'd,PS2,2006,Shooter,Activision,0,01,0,0,0,0,01,70,8,9,2,32,Activision Value,E10+,81,22,8100
Marvel: Ultimate Alliance,PC,2006,Role-Playing,Activision,0,01,0,0,0,0,01,82,22,8,52,Raven Software,T,81,2,8100
Trine,PC,2009,Action,Nobilis,0,0,01,0,0,0,01,80,50,8,2,488,Frozenbyte, Inc.,E10+,81,2,8100
Groovin' Blocks,Wii,2009,Puzzle,Zoo Games,0,01,0,0,0,0,01,75,13,8,5,6,Empty Clip Studios,E,80,10,8000
Azure Striker Gunvolt,3DS,2016,Action,Yacht Club Games,0,01,0,0,0,0,01,77,20,8,4,62,Inti Creates,E10+,80,7,8000
Harry Potter and the Chamber of Secrets,PC,2002,Action,Electronic Arts,0,0,01,0,0,0,01,77,8,8,4,93,KnowWonder,E,80,7,8000
Banjo-Kazooie,X360,2008,Platform,Microsoft Game Studios,0,0,01,0,0,0,01,77,17,8,2,70,4J Studios,E,80,5,8000
Codename: Panzers Phase Two,PC,2005,Strategy,CDV Software Entertainment,0,0,01,0,0,0,01,80,36,8,1,15,Stormregion,T,80,1,8000
Darksiders: Warmastered Edition,XOne,2016,Action,Nordic Games,0,01,0,0,0,0,01,80,13,7,9,14,Nordic Games Publishing,M,80,1,8000
Metal Slug Anthology,PS2,2007,Shooter,Ignition Entertainment,0,0,0,01,0,0,01,80,20,8,1,16,Terminal Reality,T,80,1,8000
The Chronicles of Riddick: Assault on Dark Athena,PC,2009,Shooter,Vivendi Games,0,0,01,0,0,0,01,80,26,8,136,Starbreeze,M,80,0,8000
Legacy of Kain: Defiance,PC,2003,Action,Eidos Interactive,0,0,01,0,0,0,01,70,11,8,7,67,Nixxes Software,M,78,17,7800
Mortal Kombat: Tournament Edition,GBA,2003,Fighting,Midway Games,0,01,0,0,0,0,01,75,14,8,1,8,Criterion Games,M,78,6,7800
Worms: WMD,XOne,2016,Action,Sold Out,0,01,0,0,0,0,01,75,24,8,1,7,Team 17,E10+,78,6,7800
Dokuro,PSV,2012,Action,GungHo,0,0,0,01,0,0,01,76,26,8,18,Game Arts,E10+,78,4,7800
Metal Gear Solid V: Ground Zeroes,PC,2014,Action,Konami Digital Entertainment,0,0,01,0,0,0,01,80,20,7,6,412,Kojima Productions,M,78,4,7800
FlatOut: Ultimate Carnage,PC,2008,Racing,Empire Interactive,0,0,01,0,0,0,01,79,16,7,7,127,Bugbear,T,78,2,7800
Ride 2,PC,2016,Racing,Milestone S.r.l,0,0,01,0,0,0,01,78,4,7,9,14,Milestone S.r.l,E,78,1,7800
Transformers: Fall of Cybertron,PC,2012,Action,Activision,0,01,0,0,0,0,01,78,13,7,9,121,High Moon Studios, Mercenary Technologies,T,78,1,7800
NBA 2K17,PC,2016,Sports,Take-Two Interactive,0,0,01,0,0,0,01,90,6,6,3,52,Visual Concepts,E,76,27,7600
Impossible Creatures,PC,2002,Strategy,Microsoft Game Studios,0,0,01,0,0,0,01,72,30,8,39,Relic,T,76,8,7600
Call of Juarez,PC,2006,Shooter,Ubisoft,0,0,01,0,0,0,01,72,25,7,8,223,Techland,M,75,6,7500
Sega Rally Revo,PC,2007,Racing,Sega,0,0,01,0,0,0,01,74,9,7,6,18,SEGA Racing Studio,E,75,2,7500
The Last Remnant,PC,2009,Role-Playing,Square Enix,0,0,01,0,0,0,01,66,23,8,3,240,Square Enix,M,74,17,7400
TrackMania Turbo,PC,2016,Action,Ubisoft,0,0,01,0,0,0,01,79,13,6,8,42,Nadeo,E,74,11,7400
The Eye of Judgment: Legends,PSP,2010,Strategy,Sony Computer Entertainment,0,0,0,01,0,0,01,69,17,7,9,16,SCEI,E10+,74,10,7400
Pro Evolution Soccer 2010,PC,2009,Sports,Konami Digital Entertainment,0,0,01,0,0,0,01,78,8,6,9,49,Konami,E,74,9,7400
TimeShift,PC,2007,Shooter,Vivendi Games,0,01,0,0,0,0,01,71,30,7,6,124,Saber Interactive,M,74,5,7400
Battlestations: Midway,PC,2007,Strategy,Eidos Interactive,0,0,01,0,0,0,01,76,20,7,3,46,Eidos Interactive,T,74,3,7400
Sébastien Loeb Rally Evo,XOne,2016,Racing,Milestone S.r.l,0,0,01,0,0,0,01,63,8,8,2,22,Milestone S.r.l,E,72,19,7200
Egg Mania: Eggstreme Madness,GC,2002,Puzzle,Kemco,0,01,0,0,0,0,01,64,7,8,4,Kemco,E,72,16,7200
Blackthorne,GBA,2003,Action,Activision,0,01,0,0,0,0,01,67,10,7,6,5,Mass Media,T,72,9,7200
BattleForge,PC,2009,Strategy,Electronic Arts,0,0,01,0,0,0,01,75,37,7,112,EA Phenomic,T,72,5,7200
Serious Sam II,PC,2005,Shooter,Take-Two Interactive,0,0,01,0,0,0,01,74,31,7,152,Croteam,M,72,4,7200
Mario vs. Donkey Kong: Tipping Stars,WiiU,2015,Puzzle,Nintendo,0,0,0,01,0,0,01,70,26,7,4,72,Nintendo, Nintendo Software Technology,E,72,4,7200
Don Bradman Cricket 14,PS3,2014,Sports,Tru Blu Entertainment,0,0,01,0,0,0,01,73,5,6,9,55,Big Ant Studios,E,71,4,7100
Dungeons 2,PS4,2016,Role-Playing,Kalypso Media,0,01,0,0,0,0,01,61,9,7,9,14,Kalypso,T,70,18,7000
LifeSigns: Surgical Unit,DS,2005,Simulation,JoWood Productions,0,01,0,01,0,0,0,01,61,17,7,8,5,Spike,T,70,17,7000
Contrast,PC,2013,Platform,Focus Home Interactive,0,0,01,0,0,0,01,62,24,7,7,169,Compulsion Games,T,70,15,7000
Rail Simulator,PC,2007,Simulation,Electronic Arts,0,0,01,0,0,0,01,72,13,6,9,24,Kuju Entertainment,E,70,3,7000
Powerdrome,XB,2004,Racing,Evolved Games,0,01,0,0,0,0,01,69,12,7,9,Argonaut Games,T,70,1,7000
Madden NFL 13,PS3,2012,Sports,Electronic Arts,0,0,01,0,0,0,01,83,22,5,5,101,EA Tiburon,E,69,28,6900
Madagascar: Escape 2 Africa,PC,2008,Action,Activision,0,01,0,0,0,0,01,58,6,8,4,Aspyr,E10+,69,22,6900
Clive Barker's Jericho,PC,2007,Shooter,Codemasters,0,0,01,0,0,0,01,63,25,7,5,218,Mercury Steam, Alchemic Productions,M,69,12,6900
Sherlock Holmes: The Devil's Daughter,PC,2016,Adventure,Bigben Interactive,0,0,01,0,0,0,01,65,18,7,3,72,Frogwares,T,69,8,6900
Legend of Kay Anniversary,WiiU,2015,Action,Nordic Games,0,0,01,0,0,0,01,67,9,7,1,35,Neon Studios, Kaiko,E10+,69,4,6900
Sengoku,PC,2011,Strategy,Paradox Interactive,0,0,01,0,0,0,01,70,13,6,8,86,Paradox Development Studio,T,69,2,6900
Sherlock Holmes: The Devil's Daughter,PS4,2016,Adventure,Bigben Interactive,0,01,0,0,0,0,01,70,27,6,8,64,Frogwares,T,69,2,6900
Tiger Woods PGA Tour 2005,PC,2004,Sports,Electronic Arts,0,0,01,0,0,0,01,91,16,4,5,39,Headgate,E,68,46,6800
htoL#NiQ: The Firefly Diary,PSV,2014,Platform,Nippon Ichi Software,0,0,0,01,0,0,01,58,16,7,7,23,Nippon Ichi Software,T,68,19,6800
Fullmetal Alchemist: Trading Card Game,DS,2007,Misc,Destineer,0,01,0,0,0,0,01,61,7,7,5,4,Magellan Interactive,T,68,14,6800
Hoshigami: Ruining Blue Earth Remix,DS,2007,Role-Playing,505 Games,0,0,0,01,0,0,01,55,13,7,9,11,Barnhouse Effect,T,67,24,6700
Rayman Raving Rabbids,PC,2006,Misc,Ubisoft,0,0,01,0,0,0,01,58,6,7,6,31,Ubisoft Bulgaria,E,67,18,6700
F.E.A.R. Perseus Mandate,PC,2007,Shooter,Vivendi Games,0,01,0,0,0,0,01,61,27,7,3,106,TimeGate Studios,M,67,12,6700
Valentino Rossi: The Game,PC,2016,Racing,Namco Bandai Games,0,0,01,0,0,0,01,72,4,6,2,14,Milestone, Milestone S.r.l,E,67,10,6700
STORM: Frontline Nation,PC,2011,Strategy,Unknown,0,0,01,0,0,0,01,60,12,7,2,13,SimBin,E10+,66,12,6600
Micro Machines V4,PS2,2006,Racing,Codemasters,0,01,0,0,0,0,01,64,35,6,8,8,Supersonic Software,E,66,4,6600
Republique,PS4,2016,Action,Nippon Ichi Software,0,0,01,0,01,0,0,01,72,35,5,8,29,Camouflaj, LLC,M,65,14,6500
Turok,PC,2008,Action,Touchstone,0,0,01,0,0,0,01,65,16,6,5,55,Propaganda Games,M,65,0,6500
Ship Simulator 2008,PC,2007,Simulation,Lighthouse Interactive,0,0,01,0,0,0,01,62,9,6,6,8,VSTEP,E,64,4,6400
Super Stardust Ultra VR,PS4,2016,Shooter,Sony Computer Entertainment,0,0,01,0,0,0,01,66,13,6,2,13,Sony Interactive Entertainment,E10+,64,4,6400
Theatre Of War,PC,2007,Strategy,Kalypso Media,0,0,01,0,0,0,01,66,13,6,2,21,Battlefront.com, 1C, 1C Company,T,64,4,6400
The Technomancer,PC,2016,Role-Playing,Focus Home Interactive,0,0,01,0,0,0,01,56,34,6,8,149,Spidersoft, Spiders,M,62,12,6200
Doki-Doki Universe,PSV,2013,Adventure,Sony Computer Entertainment,0,0,01,0,0,0,01,66,7,5,7,16,SCEA,E10+,62,9,6200
Saints Row: Gat out of Hell,XOne,2015,Action,Deep Silver,0,0,01,0,0,0,01,65,16,6,27,Volition Inc.,M,62,5,6200
Darkened Skye,GC,2002,Adventure,TDK Mediactive,0,01,0,0,0,0,01,61,12,6,4,7,Boston Animation,T,62,3,6200
Breach,PC,2011,Shooter,Destineer,0,01,0,0,0,0,01,61,12,5,8,43,Atomic Games,T,60,3,6000
Grooverider: Slot Car Thunder,XB,2003,Racing,Encore,0,01,0,0,0,0,01,45,9,7,3,8,King of the Jungle,E,59,28,5900
Myst,PSP,2006,Adventure,Midway Games,0,0,01,0,0,0,01,69,4,4,8,5,Hoplite Research,E,58,21,5800
Goat Simulator,XOne,2016,Simulation,Koch Media,0,0,01,0,0,0,01,53,15,6,3,63,Coffee Stain Studios,T,58,10,5800
Juiced 2: Hot Import Nights,PC,2007,Racing,THQ,0,0,01,0,0,0,01,61,6,5,42,Juice Games,T,56,11,5600
Alone in the Dark,PC,2008,Adventure,Atari,0,0,01,0,0,0,01,55,19,5,7,148,Eden Studios,M,56,2,5600
Dungeon Explorer: Warriors of Ancient Arts,PSP,2007,Role-Playing,Rising Star Games,0,01,0,0,0,0,01,56,13,5,5,4,Hudson Soft,T,56,1,5600
Spider-Man: Friend or Foe,PC,2007,Action,Activision,0,01,0,0,0,0,01,57,9,5,3,11,Beenox,E10+,55,4,5500
Conflict: Denied Ops,PC,2008,Shooter,Eidos Interactive,0,0,01,0,0,0,01,58,18,4,8,54,Pivotal Games,M,53,10,5300
Carmageddon: Max Damage,PS4,2016,Action,Stainless Games,0,01,0,0,0,0,01,51,28,5,5,39,Stainless Games,M,53,4,5300
Aeon Flux,XB,2005,Action,THQ,0,01,0,0,0,0,01,69,27,3,4,Terminal Reality,T,50,39,5000
Space Invaders Revolution,DS,2005,Shooter,Rising Star Games,0,01,0,0,0,0,01,49,9,5,2,5,Marvelous Entertainment,E,50,3,5000
Homeworld,PC,1998,Strategy,Vivendi Games,0,0,02,0,0,0,02,93,20,9,326,Relic,E,92,3,4600
Unreal Tournament 2004,PC,2004,Shooter,Atari,0,0,01,0,0,0,02,93,48,8,9,537,Epic Games,M,91,4,4550
Left 4 Dead,PC,2008,Shooter,Electronic Arts,0,0,02,0,0,0,02,89,58,9,2,3717,Valve Software,M,90,3,4500
Max Payne,PC,2001,Shooter,Take-Two Interactive,0,0,02,0,0,0,02,89,32,9,1,1016,Remedy Entertainment,M,90,2,4500
The Longest Journey,PC,1999,Adventure,Empire Interactive,0,0,01,0,0,0,02,91,26,8,9,439,Funcom,M,90,2,4500
Prototype: Biohazard Bundle,XOne,2016,Action,Activision,0,01,0,0,0,0,01,56,4,3,1,14,Radical Entertainment,M,44,25,4400
Hospital Tycoon,PC,2007,Strategy,Codemasters,0,0,01,0,0,0,01,51,8,3,8,29,Big Red Software,E10+,44,13,4400
Falcon 4.0: Allied Force,PC,2005,Simulation,Graphsim Entertainment,0,0,02,0,0,0,02,90,7,8,6,37,Lead Pursuit,T,88,4,4400
Divinity: Original Sin,PC,2014,Role-Playing,Focus Home Interactive,0,0,02,0,0,0,02,87,59,8,7,2089,Larian Studios,M,87,0,4350
Phoenix Wright: Ace Attorney Trilogy,3DS,2014,Adventure,Capcom,0,0,0,02,0,0,02,81,34,9,76,NATSUME ATARI Inc.,T,86,9,4300
Pillars of Eternity,PC,2014,Role-Playing,Paradox Interactive,0,0,02,0,0,0,02,89,71,8,3,2191,Obsidian Entertainment,M,86,6,4300
IL-2 Sturmovik: Forgotten Battles,PC,2003,Simulation,Ubisoft,0,0,02,0,0,0,02,86,12,8,6,38,1C, 1C Company,T,86,0,4300
GT Legends,PC,2005,Racing,Atari,0,0,02,0,0,0,02,84,21,8,6,44,SimBin,E,85,2,4250
LEGO Star Wars II: The Original Trilogy,PC,2006,Action,Activision,0,0,01,0,0,0,02,86,20,8,2,64,Traveller's Tales,E10+,84,4,4200
The Lord of the Rings Online: Mines of Moria,PC,2008,Role-Playing,Codemasters Online,0,0,02,0,0,0,02,85,24,8,2,99,Turbine Inc.,T,84,3,4200
Indigo Prophecy,PC,2005,Adventure,Atari,0,0,02,0,0,0,02,85,41,8,3,375,Quantic Dream,M,84,2,4200
Smuggler's Run,GBA,2002,Racing,Rebellion,0,01,0,0,0,0,01,41,5,4,3,12,Destination Software,E,42,2,4200
Enemy Territory: Quake Wars,PC,2007,Shooter,Activision,0,01,0,0,0,0,02,84,55,8,3,231,Splash Damage,T,84,1,4200
Total Overdose: A Gunslinger's Tale in Mexico,XB,2005,Shooter,Eidos Interactive,0,02,0,01,0,0,0,02,71,28,9,2,27,Deadline Games,M,82,21,4100
Final Fantasy XIV: Heavensward,PC,2015,Action,Square Enix,0,01,0,01,0,0,0,02,86,14,7,7,255,Square Enix,T,82,9,4100
Gears of War,PC,2007,Shooter,Microsoft Game Studios,0,0,01,0,0,0,02,87,36,7,8,567,Epic Games,M,82,9,4100
Warhammer Online: Age of Reckoning,PC,2008,Role-Playing,GOA,0,0,02,0,0,0,02,86,54,7,9,374,EA Mythic,T,82,7,4100
Darksiders: Warmastered Edition,PS4,2016,Action,Nordic Games,0,02,0,0,0,0,02,79,9,8,5,15,Nordic Games Publishing,M,82,6,4100
Crysis: Warhead,PC,2008,Shooter,Electronic Arts,0,0,02,0,0,0,02,84,56,7,9,516,Crytek,M,82,5,4100
Puzzle Quest: Challenge of the Warlords,PSP,2007,Puzzle,D3Publisher,0,01,0,0,0,0,02,84,32,8,19,Vicious Cycle, Infinite Interactive,E10+,82,4,4100
Syberia II,PC,2004,Adventure,MC2 Entertainment,0,0,01,0,0,0,02,80,23,8,3,150,Microids,T,82,3,4100
TOCA Race Driver 3,PC,2006,Racing,Codemasters,0,0,02,0,0,0,02,84,16,7,8,53,Codemasters,E10+,81,6,4050
Point Blank 3,PS,2000,Shooter,Namco Bandai Games,0,01,0,01,0,0,0,02,78,5,8,4,5,Tose Software,T,81,6,4050
Overlord,PC,2007,Strategy,Codemasters,0,0,02,0,0,0,02,81,27,8,1,220,Triumph Studios,T,81,0,4050
Painkiller,PC,2004,Shooter,DreamCatcher Interactive,0,0,02,0,0,0,02,81,62,8,1,284,People Can Fly,M,81,0,4050
NHL 2K3,GC,2002,Sports,Sega,0,01,0,0,0,0,02,89,11,7,6,Treyarch,E,80,19,4000
Jurassic Park: Operation Genesis,PC,2003,Simulation,Vivendi Games,0,0,02,0,0,0,02,72,15,8,7,55,Blue Tongue Entertainment,T,80,15,4000
Vietcong,PC,2003,Shooter,Gathering of Developers,0,0,02,0,0,0,02,74,22,8,7,76,Pterodon,T,80,13,4000
Star Wars: Empire at War - Forces of Corruption,PC,2006,Strategy,LucasArts,0,0,02,0,0,0,02,75,25,8,6,79,Petroglyph,T,80,11,4000
A Vampyre Story,PC,2008,Adventure,Crimson Cow,0,0,01,0,0,0,02,75,33,8,5,25,Autumn Moon,T,80,10,4000
The Lord of the Rings: The Battle for Middle-Earth II,PC,2006,Strategy,Electronic Arts,0,01,0,01,0,0,0,02,84,36,7,5,366,EA LA,T,80,9,4000
Broken Sword: The Sleeping Dragon,XB,2003,Adventure,THQ,0,01,0,0,0,0,02,77,24,8,3,12,Revolution Software,T,80,6,4000
Brandish: The Dark Revenant,PSP,2009,Role-Playing,Falcom Corporation,0,0,0,02,0,0,02,78,9,8,3,12,Falcom,T,80,5,4000
Darksiders,PS3,2010,Action,THQ,0,01,0,0,0,0,02,82,73,7,9,319,Vigil Games,M,80,3,4000
Tomb Raider: Legend,PC,2006,Action,Eidos Interactive,0,0,01,0,0,0,02,82,31,7,9,244,Nixxes Software,T,80,3,4000
Test Drive Unlimited,PC,2007,Racing,Atari,0,0,02,0,0,0,02,79,18,8,1,124,Eden Studios,T,80,2,4000
Urban Chaos: Riot Response,XB,2006,Shooter,Eidos Interactive,0,01,0,0,0,0,02,72,34,8,6,9,Rocksteady Studios,M,79,14,3950
Evil Genius,PC,2004,Strategy,Vivendi Games,0,0,01,0,0,0,02,75,51,8,3,106,Elixir Studios,T,79,8,3950
Summon Night: Swordcraft Story,GBA,2003,Role-Playing,Banpresto,0,02,0,01,0,0,0,02,77,20,8,1,19,Flight-Plan,E10+,79,4,3950
Tropico 4: Modern Times,PC,2012,Strategy,Kalypso Media,0,0,02,0,0,0,02,78,11,8,58,Haemimont,T,79,2,3950
Brothers in Arms: Hell's Highway,PC,2008,Shooter,Ubisoft,0,0,02,0,0,0,02,79,22,7,9,130,Gearbox Software,M,79,0,3950
Rogue Trooper,XB,2006,Shooter,Eidos Interactive,0,01,0,0,0,0,02,71,37,8,5,11,Rebellion,T,78,14,3900
DiRT,PC,2007,Racing,Codemasters,0,0,02,0,0,0,02,84,20,7,3,91,Codemasters,E,78,11,3900
Ceville,PC,2009,Action,Kalypso Media,0,0,02,0,0,0,02,73,17,8,2,21,Boxed Dream,E,78,9,3900
Mini Ninjas,PC,2009,Action,Eidos Interactive,0,0,02,0,0,0,02,74,14,8,3,78,Io Interactive,E10+,78,9,3900
Chili Con Carnage,PSP,2007,Shooter,Eidos Interactive,0,0,01,0,0,0,02,74,37,8,2,13,Deadline Games,M,78,8,3900
Quake 4,PC,2005,Shooter,Activision,0,0,02,0,0,0,02,81,62,7,6,281,Raven Software,M,78,5,3900
Peggle Nights,PC,2008,Puzzle,PopCap Games,0,0,01,0,0,0,02,76,15,8,1,24,PopCap,E,78,5,3900
Sniper Elite,PC,2005,Shooter,MC2 Entertainment,0,0,01,0,0,0,02,76,13,8,142,Rebellion,M,78,4,3900
Demigod,PC,2009,Strategy,Atari,0,0,02,0,0,0,02,76,50,7,9,183,Gas Powered Games,T,78,3,3900
Uru: Ages Beyond Myst,PC,2003,Adventure,Ubisoft,0,0,02,0,0,0,02,79,22,7,6,29,Cyan Worlds,E,78,3,3900
Viva Pinata,PC,2007,Simulation,Microsoft Game Studios,0,0,02,0,0,0,02,78,20,7,8,20,Climax Group, Climax Studios,E,78,0,3900
Plants vs. Zombies: Garden Warfare,PC,2014,Shooter,Electronic Arts,0,0,02,0,0,0,02,78,11,7,8,186,PopCap,E10+,78,0,3900
ParaWorld,PC,2006,Strategy,Deep Silver,0,0,02,0,0,0,02,71,29,8,3,23,SEK Ost,T,77,12,3850
Colin McRae Rally 2005,PC,2004,Racing,Codemasters,0,0,01,0,0,0,02,83,11,7,1,50,Codemasters,E,77,12,3850
Dungeon Defenders,PC,2011,Role-Playing,Unknown,0,02,0,0,0,0,02,81,26,7,3,399,Trendy Entertainment,E10+,77,8,3850
Pro Fishing Challenge,XB,2004,Sports,Atlus,0,02,0,0,0,0,02,62,11,9,1,9,Opus,E,76,29,3800
Digimon Rumble Arena,PS,2001,Fighting,Namco Bandai Games,0,01,0,01,0,0,0,02,64,5,8,8,71,Bandai,E,76,24,3800
Digimon Rumble Arena 2,XB,2004,Fighting,Atari,0,01,0,0,0,0,02,65,8,8,8,4,Black Ship Games,T,76,23,3800
Serious Sam: Next Encounter,GC,2004,Shooter,Global Star,0,02,0,0,0,0,02,69,18,8,4,9,Climax Group,M,76,15,3800
Post Mortem,PC,2003,Adventure,Microids,0,0,01,0,0,0,02,71,25,8,28,Microids,M,76,9,3800
Guitar Hero III: Legends of Rock,PC,2007,Misc,Aspyr,0,02,0,0,0,0,02,79,15,7,2,63,Aspyr,T,76,7,3800
Tom Clancy's Rainbow Six: Vegas 2,PC,2008,Shooter,Ubisoft,0,0,02,0,0,0,02,78,20,7,3,185,Ubisoft Montreal,M,76,5,3800
Worms World Party,PC,2001,Strategy,Virgin Interactive,0,0,01,0,0,0,02,75,8,7,6,68,Team 17,E,76,1,3800
Pirates of the Burning Sea,PC,2008,Role-Playing,Koch Media,0,0,01,0,0,0,02,76,30,7,6,61,Flying Lab Software,T,76,0,3800
Hogs of War,PS,2000,Strategy,Infogrames,0,01,0,01,0,0,0,02,62,10,8,8,31,Infogrames Sheffield,T,75,26,3750
Tycoon City: New York,PC,2006,Strategy,Atari,0,0,02,0,0,0,02,67,30,8,3,4,Deep Red,T,75,16,3750
Steel Battalion: Line of Contact,XB,2004,Simulation,Capcom,0,02,0,01,0,0,0,02,70,19,8,8,Capcom,T,75,10,3750
Neverwinter Nights 2,PC,2006,Role-Playing,Atari,0,0,02,0,0,0,02,82,46,6,5,565,Obsidian Entertainment,T,74,17,3700
Battle Princess of Arcadias,PS3,2013,Role-Playing,Nippon Ichi Software,0,0,0,02,0,0,02,69,22,7,9,25,ApolloSoft,T,74,10,3700
Kung Fu Panda,PC,2008,Action,Activision,0,0,02,0,0,0,02,71,11,7,8,12,Beenox,E10+,74,7,3700
Goblin Commander: Unleash the Horde,GC,2003,Strategy,Jaleco,0,01,0,0,0,0,02,71,19,7,8,6,Jaleco Entertainment,T,74,7,3700
Broken Sword 5: The Serpent's Curse,XOne,2015,Adventure,Revolution Software,0,0,02,0,0,0,02,77,12,7,2,11,Revolution Software,T,74,5,3700
Commandos 3: Destination Berlin,PC,2003,Strategy,Eidos Interactive,0,0,02,0,0,0,02,72,24,7,6,83,Pyro Studios,T,74,4,3700
Just Cause,PC,2006,Action,Eidos Interactive,0,0,01,0,0,0,02,75,21,7,3,206,Avalanche Studios,M,74,2,3700
ScrapLand,XB,2005,Action,Deep Silver,0,02,0,0,0,0,02,73,20,7,4,5,Mercury Steam,T,74,1,3700
Pump It Up: Exceed,XB,2005,Misc,Mastiff,0,01,0,0,0,0,02,74,9,7,5,4,Andamiro U.S.A. Corp.,T,74,1,3700
The Crew: Wild Run,PC,2015,Action,Ubisoft,0,0,02,0,0,0,02,74,6,7,4,41,Ivory Tower,T,74,0,3700
Drone Tactics,DS,2007,Strategy,Success,0,01,0,0,0,0,02,74,12,7,4,7,Success,E10+,74,0,3700
Just Cause,PS2,2006,Action,Eidos Interactive,0,01,0,01,0,0,0,02,67,23,7,9,41,Avalanche Studios,M,73,12,3650
Kao the Kangaroo Round 2,PS2,2005,Platform,JoWood Productions,0,01,0,01,0,0,0,02,58,12,8,7,7,Tate Interactive,E,72,29,3600
Rule of Rose,PS2,2006,Action,505 Games,0,01,0,01,0,0,0,02,59,44,8,6,51,Punchline, Shirogumi,M,72,27,3600
DemiKids: Light Version,GBA,2002,Role-Playing,Atlus,0,02,0,01,0,0,0,02,62,8,8,3,15,Multimedia Intelligence Transfer,E,72,21,3600
WorldShift,PC,2009,Strategy,Playlogic Game Factory,0,02,0,0,0,0,02,63,9,8,1,8,Black Sea Studios,T,72,18,3600
Street Fighter X Tekken,PC,2012,Fighting,Capcom,0,0,02,0,0,0,02,79,8,6,4,134,Capcom, QLOC,T,72,15,3600
The Settlers: Rise of an Empire,PC,2007,Strategy,Ubisoft,0,01,0,01,0,0,0,02,66,19,7,7,44,Blue Byte,E10+,72,11,3600
FIFA Soccer 09,PC,2008,Sports,Electronic Arts,0,0,02,0,0,0,02,77,15,6,8,36,EA Canada,E,72,9,3600
Heroes of the Pacific,PC,2005,Simulation,Codemasters,0,0,02,0,0,0,02,76,18,6,7,19,IR Gurus,T,72,9,3600
Worms,PS3,2009,Strategy,Sony Computer Entertainment,0,0,02,0,0,01,0,02,76,9,6,9,18,Team 17,E10+,72,7,3600
Worms,X360,2007,Strategy,Microsoft Game Studios,0,0,02,0,0,0,02,75,25,6,9,28,Team 17,E10+,72,6,3600
Nervous Brickdown,DS,2007,Puzzle,Eidos Interactive,0,0,01,0,0,0,02,70,21,7,5,11,Arkedo Studio,E,72,5,3600
Dynasty Warriors 8: Empires,PSV,2015,Action,Tecmo Koei,0,0,0,02,0,0,02,70,15,7,4,9,Omega Force,T,72,4,3600
RedCard 20-03,GC,2002,Sports,Midway Games,0,02,0,0,0,0,02,71,11,7,4,5,Point of View,E,72,3,3600
Majesty 2: The Fantasy Kingdom Sim,PC,2009,Simulation,Paradox Interactive,0,01,0,0,0,0,02,72,31,7,3,129,1C, Ino-Co, 1C Company,T,72,1,3600
DuckTales: Remastered,PC,2013,Action,Capcom,0,0,01,0,0,0,02,66,6,7,6,152,WayForward,E,71,10,3550
